acteurs,actors,date,description,duree,durée,genre,original_title,public,score,title
"Peter Sellers,George C. Scott,Sterling Hayden",,1964,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",95,,Comedy,,PG,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
"Kevin Spacey,Annette Bening,Thora Birch",,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122,,Drama,,R,8.4,American Beauty
"Shameik Moore,Jake Johnson,Hailee Steinfeld",,2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117,,Animation,,PG,8.4,Spider-Man: Into the Spider-Verse
"Sigourney Weaver,Michael Biehn,Carrie Henn",,1986,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",137,,Action,,R,8.4,Aliens
"Tyrone Power,Marlene Dietrich,Charles Laughton",,1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,116,,Crime,,Approved,8.4,Witness for the Prosecution
"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149,,Action,,PG-13,8.4,Avengers: Infinity War
"Charles Chaplin,Paulette Goddard,Jack Oakie",,1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,125,,Comedy,,G,8.4,The Great Dictator
"Jack Nicholson,Shelley Duvall,Danny Lloyd",,1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146,,Drama,,R,8.4,The Shining
"Kirk Douglas,Ralph Meeker,Adolphe Menjou",,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",88,,Drama,,Approved,8.4,Paths of Glory
"William Holden,Gloria Swanson,Erich von Stroheim",,1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,110,,Drama,,Passed,8.4,Sunset Blvd.
"Ulrich Mühe,Martina Gedeck,Sebastian Koch",,2006,,137,,Drama,,R,8.4,The Lives of Others
"Ben Burtt,Elissa Knight,Jeff Garlin",,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98,,Animation,,G,8.4,WALL·E
"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",,2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",165,,Drama,,R,8.4,Django Unchained
"Harrison Ford,Karen Allen,Paul Freeman",,1981,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.",115,,Action,,PG,8.4,Indiana Jones and the Raiders of the Lost Ark
"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",,2000,A man with short-term memory loss attempts to track down his wife's murderer.,113,,Mystery,,R,8.4,Memento
"Martin Sheen,Marlon Brando,Robert Duvall",,1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147,,Drama,,R,8.5,Apocalypse Now
"Charles Chaplin,Virginia Cherrill,Florence Lee",,1931,,87,,Comedy,,G,8.5,City Lights
"Sigourney Weaver,Tom Skerritt,John Hurt",,1979,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,117,,Horror,,R,8.5,Alien
"Philippe Noiret,Enzo Cannavale,Antonella Attili",,1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,155,,Drama,,PG,8.5,Cinema Paradiso
"James Stewart,Grace Kelly,Wendell Corey",,1954,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",112,,Mystery,,PG,8.5,Rear Window
"Henry Fonda,Charles Bronson,Claudia Cardinale",,1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,165,,Western,,PG-13,8.5,Once Upon a Time in the West
"Charles Chaplin,Paulette Goddard,Henry Bergman",,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,87,,Comedy,,G,8.5,Modern Times
"François Cluzet,Omar Sy,Anne Le Ny",,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112,,Biography,,R,8.5,The Intouchables
